adult,gender,id,known_for_department,name,original_name,popularity,profile_path,credit_id,department,job,movie_id
False,2,17350,Directing,Kevin Macdonald,Kevin Macdonald,3.774,/oBbbBs0yVcznPB7MkKb5m1h9jRU.jpg,52fe4f0fc3a36847f82ba88b,Directing,Director,246080
False,2,1184816,Directing,Morgan Matthews,Morgan Matthews,2.388,/2KflRO7JL5LTeeUyyE0gepzqdBy.jpg,593f3e109251414b1d0044b1,Directing,Director,278236
False,2,97180,Directing,Steve Loter,Steve Loter,2.08,/5pwhyMiHLo4MNmIXxo7lM5KRaPo.jpg,543b7921c3a368198c004d08,Directing,Director,297270
False,2,1347619,Directing,Severin Fiala,Severin Fiala,2.555,/bggZwvIGePHoS5C5dkcZrS14He1.jpg,53d808bbc3a3682c280003e1,Directing,Director,284303
False,1,40509,Directing,Veronika Franz,Veronika Franz,3.01,/xheCMLPimcMkT9bgMcxP7wIepnr.jpg,57cb6e13c3a3680608006e4e,Directing,Director,284303
False,2,122590,Directing,Richard Laxton,Richard Laxton,1.406,/j61anPcjfv1hwiGzwwAi152fStf.jpg,52fe4b46c3a36847f81fb8e3,Directing,Director,114155
False,2,1276823,Directing,Cary Murnion,Cary Murnion,0.533,/nmBhLqmIRJoqHOKgkWKrSiASEdc.jpg,52fe4ebfc3a36847f82a583b,Directing,Director,241843
False,2,1276825,Directing,Jonathan Milott,Jonathan Milott,1.144,/nJjtDqT3ZoEafHBnYIXdwRMS6bP.jpg,52fe4ebfc3a36847f82a5841,Directing,Director,241843
False,1,1312149,Directing,July Jung,정주리,2.237,/vMbZRtsq9l0HqOE0Gyq6ED8Cp11.jpg,535659f1c3a36841d60022e0,Directing,Director,266058
False,2,152414,Acting,Anthony Lucero,Anthony Lucero,1.289,,530e39a8925141142e002837,Directing,Director,257245
False,1,163998,Directing,Carol Morley,Carol Morley,0.579,/iuKuNRNUTXsnOpCslygaf5tjlrW.jpg,543cf3580e0a26534700142d,Directing,Director,294741
False,2,75725,Directing,Robert Connolly,Robert Connolly,1.816,/J41J32HMZ2S3mHhRDGkJJYtOkm.jpg,5444a666c3a3683e0b006a83,Directing,Director,286875
False,2,86688,Directing,Levan Gabriadze,Levan Gabriadze,2.859,/zZoQnhYpaStr5SRbrC0PEvfGsJV.jpg,5535720a9251417eb80021c4,Directing,Director,277685
False,2,442985,Directing,Stéphane Lafleur,Stéphane Lafleur,0.559,/cjBwCoxg4vKSd07qMh578uWdWQ2.jpg,537bd7e80e0a262a910000a9,Directing,Director,270886
False,2,145228,Directing,Jalmari Helander,Jalmari Helander,2.496,/vqmzsl8dQpjiFklM40HGCSRAcis.jpg,52fe4dd1c3a36847f826f695,Directing,Director,230179
False,2,558929,Directing,David Robert Mitchell,David Robert Mitchell,3.765,/i0XKqclsHNO8JAD7yNuuUNOUXG3.jpg,537770b20e0a261431002299,Directing,Director,270303
False,0,1056316,Writing,Anton King,Anton King,0.001,,52fe4b2ac3a36847f81f5d87,Directing,Director,113091
False,2,1306608,Directing,Adam Robitel,Adam Robitel,2.043,/ujwEsVKMCN0JD6Mx2PlfSqmbxd1.jpg,544d9d870e0a2608d000341e,Directing,Director,297608
False,2,1361546,Directing,Kiah Roache-Turner,Kiah Roache-Turner,1.581,/qYobNJ9HstH6FzcCkCOZAoR5CeU.jpg,540bbc10c3a36879ab00278f,Directing,Director,290999
False,0,1364023,Directing,Brian O'Malley,Brian O'Malley,0.642,,5415f2360e0a261c380027d0,Directing,Director,276488
False,2,12219,Acting,Jon Stewart,Jon Stewart,5.518,/jmnRMhkms5YAHNb5ZK5ro750vKk.jpg,52fe4df79251416c75146ee1,Directing,Director,222649
False,2,97901,Directing,Christopher Ray,Christopher Ray,1.502,/IVnfqEPMcsFUksVAX78gQMJsb5.jpg,53a34eaf0e0a2614a500078a,Directing,Director,277597
